Wall time,Step,Value
1742501408.0591164,4,1.4255280494689941
1742501408.226942,18,1.0736761093139648
1742501414.233605,40,1.0047677755355835
1742501414.3156455,47,0.9994931221008301
1742501419.8384812,48,0.9949065446853638
1742501420.002181,62,0.9695146083831787
1742501420.0121408,63,0.9377771615982056
1742501420.0588543,67,0.9441133737564087
1742501420.0990124,71,0.9658387899398804
1742501425.5861552,77,0.9695409536361694
1742501425.64143,82,0.9594420790672302
1742501425.727877,89,0.9497287273406982
1742501431.2872758,99,0.9391106367111206
1742501431.3322148,103,0.948310375213623
1742501431.3724918,107,0.9401696920394897
1742501436.953563,121,0.9116790294647217
1742501437.0084739,125,0.9481872916221619
1742501437.0196545,126,0.9372513294219971
1742501437.0420763,128,0.9498839378356934
1742501437.0623837,130,0.9364327192306519
1742501442.6639977,144,0.9259961843490601
1742501442.7241638,147,0.9002487659454346
1742501442.8461785,157,0.9091173410415649
1742501442.8784668,160,0.9242473840713501
1742501442.899649,162,0.9078139066696167
1742501442.919827,164,0.9150641560554504
1742501448.4661705,172,0.8887346982955933
1742501448.524607,177,0.8900765180587769
1742501448.6887298,191,0.8904849290847778
1742501454.293291,203,0.8654199838638306
1742501454.328764,205,0.8583644032478333
1742501454.4157462,213,0.8427655696868896
1742501460.0796185,229,0.8134833574295044
1742501465.6879537,244,0.810989260673523
1742501465.7011592,245,0.814791202545166
1742501465.8487015,258,0.790770411491394
1742501465.86192,259,0.7739089727401733
1742501471.447684,271,0.7815340757369995
1742501471.488738,274,0.7799745202064514
1742501471.5865364,282,0.7682957053184509
1742501471.6165097,285,0.7627192735671997
1742501477.1594296,290,0.7786571979522705
1742501477.2173815,295,0.7546374797821045
1742501477.3702338,308,0.7421355843544006
1742501482.9071803,316,0.7350484728813171
1742501482.9279191,318,0.7190636396408081
1742501482.9384172,319,0.7116349339485168
1742501482.9706917,322,0.739647626876831
1742501488.738466,345,0.6963930130004883
1742501488.7532277,346,0.6938759088516235
1742501488.893679,358,0.7005911469459534
1742501494.4229841,364,0.6905473470687866
1742501494.4343078,365,0.7042521238327026
1742501494.4501386,366,0.6738342046737671
1742501494.6120498,378,0.6782740354537964
1742501500.1774535,386,0.6564265489578247
1742501500.2273092,390,0.6739832162857056
1742501500.248087,392,0.6727775931358337
1742501500.3665261,402,0.6530708074569702
1742501500.3883474,404,0.6656801700592041
1742501505.9968472,415,0.6355283260345459
1742501506.0811987,422,0.6252948045730591
1742501511.753192,436,0.6282984018325806
1742501511.7636719,437,0.6318471431732178
1742501511.7839844,439,0.6377754211425781
1742501511.8689659,446,0.6371902227401733
1742501517.5129929,461,0.6403015851974487
1742501517.5588844,465,0.617059588432312
1742501517.6716766,474,0.6109780073165894
1742501517.6820974,475,0.5867272615432739
1742501523.2261918,480,0.6121315956115723
1742501523.2396767,481,0.5983630418777466
1742501523.302064,487,0.6096139550209045
1742501529.0772748,510,0.5925241708755493
1742501529.0971255,512,0.5834378004074097
1742501529.1120842,513,0.593256413936615
